schema,table_name,total_size,table_size,indexes_size
public,profiles,544 kB,8192 bytes,536 kB
public,couple_profiles,200 kB,0 bytes,200 kB
public,stories,184 kB,8192 bytes,176 kB
public,user_tokens,128 kB,8192 bytes,120 kB
public,banner_config,112 kB,8192 bytes,104 kB
public,token_analytics,112 kB,8192 bytes,104 kB
public,referral_rewards,104 kB,0 bytes,104 kB
public,reports,104 kB,0 bytes,104 kB
public,consent_verifications,104 kB,0 bytes,104 kB
public,investment_tiers,96 kB,8192 bytes,88 kB
public,couple_nft_requests,80 kB,0 bytes,80 kB
public,roles,80 kB,8192 bytes,72 kB
public,daily_token_claims,80 kB,0 bytes,80 kB
public,moderation_logs,80 kB,0 bytes,80 kB
public,tokens,80 kB,8192 bytes,72 kB
public,swinger_interests,80 kB,8192 bytes,72 kB
public,digital_fingerprints,80 kB,0 bytes,80 kB
public,token_transactions,72 kB,0 bytes,72 kB
public,user_referral_balances,72 kB,0 bytes,72 kB
public,permanent_bans,72 kB,0 bytes,72 kB
public,clubs,72 kB,0 bytes,72 kB
public,gallery_permissions,72 kB,0 bytes,72 kB
public,posts,72 kB,0 bytes,72 kB
public,ai_model_metrics,72 kB,8192 bytes,64 kB
public,ai_compatibility_scores,72 kB,0 bytes,72 kB
public,couple_events,72 kB,0 bytes,72 kB
public,user_token_balances,72 kB,0 bytes,72 kB
public,club_reviews,72 kB,0 bytes,72 kB
public,investments,64 kB,0 bytes,64 kB
public,security_events,64 kB,0 bytes,64 kB
public,user_wallets,64 kB,0 bytes,64 kB
public,couple_disputes,64 kB,0 bytes,64 kB
public,analytics_events,64 kB,0 bytes,64 kB
public,faq_items,64 kB,8192 bytes,56 kB
public,club_checkins,64 kB,0 bytes,64 kB
public,testnet_token_claims,64 kB,0 bytes,64 kB
public,chat_summaries,64 kB,0 bytes,64 kB
public,blockchain_transactions,64 kB,0 bytes,64 kB
public,error_alerts,64 kB,0 bytes,64 kB
public,user_nfts,64 kB,0 bytes,64 kB
public,images,64 kB,0 bytes,64 kB
public,couple_profile_reports,64 kB,0 bytes,64 kB
public,moderators,64 kB,0 bytes,64 kB
public,cmpx_shop_packages,64 kB,8192 bytes,56 kB
public,story_reports,64 kB,0 bytes,64 kB
public,web_vitals_history,56 kB,0 bytes,56 kB
public,threat_detections,56 kB,0 bytes,56 kB
public,club_flyers,56 kB,0 bytes,56 kB
public,performance_metrics,56 kB,0 bytes,56 kB
public,gallery_commissions,56 kB,0 bytes,56 kB
public,cmpx_purchases,56 kB,0 bytes,56 kB
public,nft_galleries,56 kB,0 bytes,56 kB
public,staking_records,56 kB,0 bytes,56 kB
public,media,56 kB,0 bytes,56 kB
public,matches,56 kB,0 bytes,56 kB
public,story_comments,56 kB,0 bytes,56 kB
public,user_suspensions,56 kB,0 bytes,56 kB
public,user_roles,56 kB,0 bytes,56 kB
public,referrals,56 kB,0 bytes,56 kB
public,media_access_logs,56 kB,0 bytes,56 kB
public,referral_transactions,56 kB,0 bytes,56 kB
public,biometric_sessions,56 kB,0 bytes,56 kB
public,couple_agreements,56 kB,0 bytes,56 kB
public,security_audit_logs,56 kB,0 bytes,56 kB
public,investment_returns,56 kB,0 bytes,56 kB
public,worldid_verifications,56 kB,0 bytes,56 kB
public,user_sessions,56 kB,0 bytes,56 kB
public,security_flags,56 kB,0 bytes,56 kB
public,frozen_assets,56 kB,0 bytes,56 kB
public,two_factor_auth,48 kB,0 bytes,48 kB
public,story_likes,48 kB,0 bytes,48 kB
public,post_comments,48 kB,0 bytes,48 kB
public,notification_preferences,48 kB,0 bytes,48 kB
public,profile_cache,48 kB,0 bytes,48 kB
public,sessions,48 kB,0 bytes,48 kB
public,security,48 kB,0 bytes,48 kB
public,explicit_preferences,48 kB,8192 bytes,40 kB
public,couple_profile_views,48 kB,0 bytes,48 kB
